"name","Long","Lat","Rank","Sardegna","Lipari","Palmarola"
"La Lucciola",12.08612,43.06918,1,1,1,1
"Sant'Anna di Oria",17.616931,40.49882,3,0,1,1
"La Scola",10.0833,42.58,2,1,1,1
"La Marmotta",12.2745,42.1044,3,0,1,1
"Masseria Candelaro III",15.750553,41.61289,1,0,1,1
"Marcianese",14.39301,42.22498,1,0,0,1
"Fornace Cappuccini",11.872712,44.28343,2,0,1,1
"Pienza",11.6767,43.0787,1,0,1,1
"Grotta Sant'Angelo II",13.626537,42.75455,1,0,1,1
"Villa Badessa (Cepegatti)",14.0832,42.3745,1,0,1,1
"Catignano",13.943843,42.34267,3,0,1,1
"Colle Cera",13.987246,42.43035,1,1,1,1
"Cala Giovanna",10.0938,42.58964,2,1,1,1
"Arene Candide II",8.32828,44.1623,1,1,0,1
"Grotta San Michele Arcangelo II",16.1575,39.7799,2,0,1,1
"Palmarola",12.85806,40.93694,4,NA,NA,1
