"Metric","Rule_1","Rule_2","Adjusted_P_value"
"Edges","Rule_B","Rule_A",0.00557188880989359
"Edges","Rule_C","Rule_A",0.000732421875
"Edges","Rule_C","Rule_B",0.000732421875
"Components","Rule_B","Rule_A",1
"Components","Rule_C","Rule_A",0.0532835049351219
"Components","Rule_C","Rule_B",0.0532835049351219
"Isolates","Rule_C","Rule_A",0.0355223366234146
"Isolates","Rule_C","Rule_B",0.0355223366234146
"Largest_Component_Size","Rule_B","Rule_A",1
"Largest_Component_Size","Rule_C","Rule_A",0.0532835049351219
"Largest_Component_Size","Rule_C","Rule_B",0.0532835049351219
